date,channel,region,segment,product_name,started,submitted,in_progress,completed,approved,failures,avg_time_minutes,sla_target_minutes,pipeline_total_cr,pipeline_risk_cr,sla_breached,stuck_24h
2026-02-02,Mobile App,East Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,West Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,North Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,South Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,East Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Net Banking,West Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,North Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,South Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,East Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Branch,West Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-03,Mobile App,North Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,North Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,North Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,North Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,North Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,North Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,North Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,North Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,North Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,South Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,East Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Mobile App,West Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,North Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,South Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,East Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Net Banking,West Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,North Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,South Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,East Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,Retail,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,Retail,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,Retail,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,Priority,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,Priority,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,Priority,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,SME,Credit Card,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,SME,Personal Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-03,Branch,West Zone,SME,Home Loan,1020,714,306,612,489,51,21,20,31,6.2,51,16
2026-02-04,Mobile App,North Zone,Retail,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,North Zone,Retail,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,North Zone,Retail,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,North Zone,Priority,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,North Zone,Priority,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,North Zone,Priority,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,North Zone,SME,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,North Zone,SME,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,North Zone,SME,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,Retail,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,Retail,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,Retail,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,Priority,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,Priority,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,Priority,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,SME,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,SME,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,South Zone,SME,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,Retail,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,Retail,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,Retail,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,Priority,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,Priority,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,Priority,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,SME,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,SME,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,East Zone,SME,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,Retail,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,Retail,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,Retail,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,Priority,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,Priority,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,Priority,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,SME,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,SME,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Mobile App,West Zone,SME,Home Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Net Banking,North Zone,Retail,Credit Card,1030,721,309,618,494,51,22,20,32,6.4,52,17
2026-02-04,Net Banking,North Zone,Retail,Personal Loan,1030,721,309,618,494,51,22,20,32,6.4,52,17
